Page|Type|Price|Address|Description|Weblink
2|4.5 Zimmer, 107m², CHF 3’082.– | CHF 3’082.– |In der Looren 56, 8053 Zürich|Ihre neue Wohlfühloase|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4001018762
2|3.5 Zimmer, 77m², CHF 2’443.– | CHF 2’443.– |Kügeliloostrasse 99, Gebäude F, 8046 Zürich|Moderne Wohnung mit gemütlicher Loggia|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4001018746
2|4.5 Zimmer, 150m², CHF 5’850.– | CHF 5’850.– |Wirzenweid 27, 8053 Zürich|Bright apartment with the view in a quiet neighborhood|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000996779
2|5.5 Zimmer, CHF 5’500.– | CHF 5’500.– |Lyrenweg, 8047 Zürich|Haus: In der Stadt Zürich und doch idyllisch|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000816406
2|3 Zimmer, 81m², CHF 2’610.– | CHF 2’610.– |Röslistr. 57, 8006 Zürich|zentral gelegene Wohnung - Mieten ohne Kaution|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000934333
2|1.5 Zimmer, 25m², CHF 1’710.– | CHF 1’710.– |Müllerstrasse 76, 8004 Zürich|Mitten in der Stadt Zürich!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000937464
2|3.5 Zimmer, 111m², CHF 3’839.– | CHF 3’839.– |Staffelstrasse 5, 8045 Zürich|"Urbanes Wohnen im ""Secret Garden"""|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000937461
2|3.5 Zimmer, 65m², CHF 3’190.– | CHF 3’190.– |Rolandstrasse 3, 8004 Zürich|Erstvermietung nach Totalsanierung (3.5  Zimmerwohnungen)|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000990823
2|2.5 Zimmer, 109m², CHF 4’280.– | CHF 4’280.– |Naphtastr. 4, 8005 Zürich|Modernes Wohnen im Herzen von Zürich!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000793124
2|3.5 Zimmer, 75m², CHF 3’300.– | CHF 3’300.– |Bucheggstrasse 21, 8037 Zürich|3.5 Zimmerwohnung in Wipkingen|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000861464
